
20231003	12:09:19	4be7e6f9-2d87-4072-9c73-09d763e260d7	/css/style.css	GET
20231003	12:09:19	4b2476f3-317c-41a7-b056-963c46e49a4a	/img/img1.jpg	GET
20231003	12:09:19	c503e26c-4467-45cc-b813-b91eeb0afd21	/favicon.ico	GET
20231003	12:10:03	e6590427-a1ed-4a4c-bccd-00cc86d64c98	/	GET
20231003	12:10:03	0dc21528-631e-401f-8765-1e9bdfa51063	/css/style.css	GET
20231003	12:10:22	fecd58d1-b319-438b-a099-faf822fa35cb	/old	GET
20231003	12:10:22	add2637b-154c-4735-a010-0ae5b67f4942	/css/style.css	GET
20231003	12:37:28	0675d5ca-c1e4-42e3-a4da-05d8bf76924c	/css/style.css	GET
20231003	12:37:39	f7c0b908-0fbf-48bd-9d46-c80a85810ed3	/vishal	GET
20231003	12:37:39	19b272b0-0cc4-4895-8250-e96fa8a06d4e	/css/style.css	GET
20231003	12:38:04	c0f5727e-a299-4ed8-922f-cfdd8d968800	/vishal	GET
20231003	12:38:04	a704abc2-c9c8-4052-b849-91dd2e2e7bbc	/css/style.css	GET
20231003	12:38:17	11cabd76-a79f-4ebf-9ed6-de0dfa7ddf30	/new-page	GET
20231003	12:38:17	19129684-37fc-483b-8415-4cb69abdf271	/css/style.css	GET
20231003	12:38:17	8841d32a-8d02-48cf-bdb4-a15661f1b30a	/img/img1.jpg	GET
20231010	13:55:35	12b26dcf-ae6d-445b-80f8-be3fd953ac18	GET	undefined	/
20231010	13:55:35	808fa5e3-f0f1-431e-b784-8c18956636c7	GET	undefined	/css/style.css
20231010	13:55:47	1a08948c-ad6e-46e2-a12e-9594211fb2d0	GET	undefined	/
20231010	13:55:47	3276a2a3-c5f2-4271-8a76-1092acd8e65c	GET	undefined	/css/style.css
20231010	13:56:04	57577887-a203-4789-8a9d-bbe818d7ff2d	GET	undefined	/new-page
20231010	13:56:04	237253c7-5d7e-4dab-bed1-17950a6ebd93	GET	undefined	/css/style.css
20231010	13:56:04	fc66e640-9d9b-4ad1-baa3-91cd75e755be	GET	undefined	/img/img1.jpg
20231010	14:02:14	807a6a33-0bc5-47c4-adb0-1a8bd74821b1	OPTIONS	undefined	/
20231010	14:02:14	b7363ef5-e4e6-432f-8c82-6454ae9f50d6	GET	undefined	/
20231010	14:02:58	6cca7785-f93c-4a1a-9990-bd8efbd3ff88	OPTIONS	undefined	/
20231010	14:02:58	c6a43b71-53c4-40b7-880a-6bc5cb94bfa6	GET	undefined	/
20231010	14:04:21	be18a28c-ec4c-4c1f-90ca-7b9a0db4b2b6	OPTIONS	undefined	/
20231010	14:04:21	3211ad7e-8892-49d0-b69d-36ed4124f291	GET	undefined	/
20231014	10:15:55	ab8a805f-0c22-4224-b65c-f508fb41a205	GET	undefined	/
20231014	10:15:55	afd3c752-2324-43d6-b42c-dda31e4b2930	GET	undefined	/css/style.css
20231014	10:15:55	aa2b38d3-db47-43c0-b3ca-0a7dd82d15b2	GET	undefined	/favicon.ico
20231014	10:16:27	2aa0ec00-12bd-407c-b98d-bcb390beb4b7	OPTIONS	undefined	/
20231014	10:16:27	7809e819-921b-4b3e-9039-92c41567f06a	GET	undefined	/
20231014	10:17:22	ae23577a-fda2-4bcf-97d1-24ef2f7a682f	OPTIONS	undefined	/
20231014	10:17:22	fd029631-5f40-4ee2-92ab-26bf0c3d0648	GET	undefined	/
20231014	10:33:00	80f70f3a-10b2-4b18-af1c-b9aed69b056a	GET	undefined	/
20231014	10:33:00	a7a24408-4034-4848-9f19-4e4fb6a3cff7	GET	undefined	/css/style.css
20231014	11:52:39	20d0c1d4-0c4e-4bd4-a8d3-beed4ba28cfe	GET	undefined	/css/style.css
20231014	11:52:42	8b3fb2f7-d18b-4a76-929a-62aaf7206b06	GET	undefined	/
20231014	11:52:43	7d7a8e51-d579-484b-9c16-0f5fb1405731	GET	undefined	/
20231014	11:52:44	9b4e96a2-3775-4f52-8151-45377d88c307	GET	undefined	/
20231014	11:52:44	6cc39189-e70f-4e4e-bd4b-7d4799aa45ea	GET	undefined	/
20231014	11:52:44	0890e11d-9cd6-4d1e-a542-3059d6018cb0	GET	undefined	/
20231014	11:52:55	2f16adde-d3cb-47a4-b07a-4a1720a78ef9	OPTIONS	undefined	/
20231014	11:52:55	17ca5a64-90a5-4591-9d43-b06672a3028d	GET	undefined	/
20231014	11:53:26	87650bf0-d934-4431-86df-67228960c233	OPTIONS	undefined	/
20231014	11:53:26	c50486a4-1de3-43ee-98b1-eef14d58c427	GET	undefined	/
20231014	11:57:26	121592ec-857b-4b9b-bd4b-5c51d659968f	GET	undefined	/
